sample,label
132407_220725_01_A1,SarsCoV2 1e4
132407_220725_01_A2,SarsCoV2 1e3
132407_220725_01_A3,HKU1 1e4
132407_220725_01_A4,HKU1 1e3
132407_220725_01_A5,NL63 1e4
132407_220725_01_A6,NL63 1e3
132407_220725_01_A7,BetaCoV 1e4
132407_220725_01_A8,BetaCoV 1e3
132407_220725_01_B1,HPIV3 1e4
132407_220725_01_B2,HPIV3 1e3
132407_220725_01_B3,FluA 1e4
132407_220725_01_B4,FluA 1e3
132407_220725_01_B5,FluB 1e4
132407_220725_01_B6,FluB 1e3
132407_220725_01_B7,HMPV 1e4
132407_220725_01_B8,HMPV 1e3
132407_220725_01_C1,HRSV 1e4
132407_220725_01_C2,HRSV 1e3
132407_220725_01_C3,Water AMP
132407_220725_01_C4,Water DET
132407_220725_01_C5,SarsCoV2 1e4 no Mg
132407_220725_01_C6,
132407_220725_01_C7,
132407_220725_01_C8,
132407_220725_01_D1,
132407_220725_01_D2,
132407_220725_01_D3,
132407_220725_01_D4,
132407_220725_01_D5,
132407_220725_01_D6,
132407_220725_01_D7,
132407_220725_01_D8,
132407_220725_01_E1,
132407_220725_01_E2,
132407_220725_01_E3,
132407_220725_01_E4,
132407_220725_01_E5,
132407_220725_01_E6,
132407_220725_01_E7,
132407_220725_01_E8,
132407_220725_01_F1,
132407_220725_01_F2,
132407_220725_01_F3,
132407_220725_01_F4,
132407_220725_01_F5,
132407_220725_01_F6,
132407_220725_01_F7,
132407_220725_01_F8,
132407_220725_02_A1,SarsCoV2 1e4
132407_220725_02_A2,SarsCoV2 1e3
132407_220725_02_A3,HKU1 1e4
132407_220725_02_A4,HKU1 1e3
132407_220725_02_A5,NL63 1e4
132407_220725_02_A6,NL63 1e3
132407_220725_02_A7,BetaCoV 1e4
132407_220725_02_A8,BetaCoV 1e3
132407_220725_02_B1,HPIV3 1e4
132407_220725_02_B2,HPIV3 1e3
132407_220725_02_B3,FluA 1e4
132407_220725_02_B4,FluA 1e3
132407_220725_02_B5,FluB 1e4
132407_220725_02_B6,FluB 1e3
132407_220725_02_B7,HMPV 1e4
132407_220725_02_B8,HMPV 1e3
132407_220725_02_C1,HRSV 1e4
132407_220725_02_C2,HRSV 1e3
132407_220725_02_C3,Water AMP
132407_220725_02_C4,Water DET
132407_220725_02_C5,SarsCoV2 1e4 no Mg
132407_220725_02_C6,
132407_220725_02_C7,
132407_220725_02_C8,
132407_220725_02_D1,
132407_220725_02_D2,
132407_220725_02_D3,
132407_220725_02_D4,
132407_220725_02_D5,
132407_220725_02_D6,
132407_220725_02_D7,
132407_220725_02_D8,
132407_220725_02_E1,
132407_220725_02_E2,
132407_220725_02_E3,
132407_220725_02_E4,
132407_220725_02_E5,
132407_220725_02_E6,
132407_220725_02_E7,
132407_220725_02_E8,
132407_220725_02_F1,
132407_220725_02_F2,
132407_220725_02_F3,
132407_220725_02_F4,
132407_220725_02_F5,
132407_220725_02_F6,
132407_220725_02_F7,
132407_220725_02_F8,
132407_220725_03_A1,SarsCoV2 1e4
132407_220725_03_A2,SarsCoV2 1e3
132407_220725_03_A3,HKU1 1e4
132407_220725_03_A4,HKU1 1e3
132407_220725_03_A5,NL63 1e4
132407_220725_03_A6,NL63 1e3
132407_220725_03_A7,BetaCoV 1e4
132407_220725_03_A8,BetaCoV 1e3
132407_220725_03_B1,HPIV3 1e4
132407_220725_03_B2,HPIV3 1e3
132407_220725_03_B3,FluA 1e4
132407_220725_03_B4,FluA 1e3
132407_220725_03_B5,FluB 1e4
132407_220725_03_B6,FluB 1e3
132407_220725_03_B7,HMPV 1e4
132407_220725_03_B8,HMPV 1e3
132407_220725_03_C1,HRSV 1e4
132407_220725_03_C2,HRSV 1e3
132407_220725_03_C3,Water AMP
132407_220725_03_C4,Water DET
132407_220725_03_C5,SarsCoV2 1e4 no Mg
132407_220725_03_C6,
132407_220725_03_C7,
132407_220725_03_C8,
132407_220725_03_D1,
132407_220725_03_D2,
132407_220725_03_D3,
132407_220725_03_D4,
132407_220725_03_D5,
132407_220725_03_D6,
132407_220725_03_D7,
132407_220725_03_D8,
132407_220725_03_E1,
132407_220725_03_E2,
132407_220725_03_E3,
132407_220725_03_E4,
132407_220725_03_E5,
132407_220725_03_E6,
132407_220725_03_E7,
132407_220725_03_E8,
132407_220725_03_F1,
132407_220725_03_F2,
132407_220725_03_F3,
132407_220725_03_F4,
132407_220725_03_F5,
132407_220725_03_F6,
132407_220725_03_F7,
132407_220725_03_F8,
132407_220725_04_A1,SarsCoV2 1e4
132407_220725_04_A2,SarsCoV2 1e3
132407_220725_04_A3,HKU1 1e4
132407_220725_04_A4,HKU1 1e3
132407_220725_04_A5,NL63 1e4
132407_220725_04_A6,NL63 1e3
132407_220725_04_A7,BetaCoV 1e4
132407_220725_04_A8,BetaCoV 1e3
132407_220725_04_B1,HPIV3 1e4
132407_220725_04_B2,HPIV3 1e3
132407_220725_04_B3,FluA 1e4
132407_220725_04_B4,FluA 1e3
