Class,Class_Name,Math_NormGreen,Math_NormYellow,Math_NormRed,radius
<b>RNaseP</b>,RNaseP,0.0768241144423982,0.0367649799370953,0.8864109056205065,0.17
<b>SARS-CoV-2</b>,SARS-CoV-2,0.6994563722472943,0.1705146130724061,0.13002901468029962,0.17
<b>Scrambled 1</b>,Scrambled 1,0.0785050330197776,0.7360427594000118,0.18545220758021053,0.17
<b>HCoV_NL63</b>,HCoV_NL63,0.0855387990668825,0.2944942583634525,0.619966942569665,0.17
<b>BetaCoV</b>,BetaCoV,0.2516566775228326,0.1242313604956891,0.6241119619814783,0.17
<b>FluB</b>,FluB,0.2693454801818217,0.5343846599002235,0.19626985991795476,0.17
<b>HRSV</b>,HRSV,0.6186669667490197,0.263697425254468,0.11763560799651235,0.17
<b>HCoV_HKU1</b>,HCoV_HKU1,0.5782245282885357,0.1470817822247384,0.27469368948672596,0.17
<b>HMPV</b>,HMPV,0.4948815730348448,0.215371910500668,0.2897465164644872,0.17
<b>FluA</b>,FluA,0.0988986014504701,0.6206892648459965,0.28041213370353335,0.17
<b>Scrambled 2</b>,Scrambled 2,0.2462896167214034,0.3603944799481559,0.39331590333044075,0.17
<b>HPIV3</b>,HPIV3,0.0997304694131845,0.5061583716465877,0.39411115894022775,0.17
